ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
2097;13402/95;;Von Hastigbox Comtess;;DBZB195466;11263/89;;;;0;02-05-1995;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2098;13430/86;;Anco;;26065/83;17295/82;;;;0;25-04-1986;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2099;13434/86;;Adda;;26065/83;17295/82;;;;0;25-04-1986;A2;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
2100;13436/78;;Alex;;DBZB139784;17420/75;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2101;13436/93;;Lindskov´s Jasper;;05494/88;02511/87;;;;0;11-05-1993;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2102;13438/93;;Lindskov´s Jarl;;05494/88;02511/87;;;;0;11-05-1993;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2103;13439/93;;Lindskov´s Jargo;;05494/88;02511/87;;;;0;11-05-1993;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2104;13440/93;;Lindskov´s Jon;;05494/88;02511/87;;;;0;11-05-1993;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2105;13442/93;;Lindskov´s Julie;;05494/88;02511/87;;;;0;11-05-1993;A2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2106;13443/93;;Lindskov´s Jasmin;;05494/88;02511/87;DKCH;KLBCH, KBHV-1998, AK, UHP, BHP-3, SPH-1, FP;;0;11-05-1993;B1;;;;;0;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
2107;13452/71;;Pavehusets Dirk;;32337Z;283866W;;;;0;;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;;;;;20-01-2003
2108;13454/82;;Tot;;02981/80;37380/80;;;;0;12-04-1982;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
2109;13457/82;;Filur;;02981/80;37380/80;;;;0;12-04-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2110;13459/82;;Jenna;;02981/80;37380/80;;;;0;12-04-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2111;13460/82;;Trunte;;02981/80;37380/80;;;;0;12-04-1982;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2112;13466/82;;Bina;;19642/80;02654/80;;;;0;12-04-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
