ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
8225;DK17577/2018;2,08E+14;Mosehusets Caramba;;DBZB239146;DK16293/2015;;;;0;12-09-2018;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;13-01-2019;;;;13-01-2019
8226;DK17578/2018;2,08E+14;Mosehusets Carla;;DBZB239146;DK16293/2015;;;;0;12-09-2018;A;;;;01-05-2021;110;T;Rg/Hv;;;;0;;;;;;;;;;;;22-05-2021;;;;13-01-2019
8227;DK17579/2018;2,08E+14;Mosehusets Catalina;;DBZB239146;DK16293/2015;;;;0;12-09-2018;;;;;;0;T;;0;;0;0;;;;;;;;;;;;13-01-2019;;;;13-01-2019
8228;DK17580/2018;2,08E+14;Mosehusets Camma;;DBZB239146;DK16293/2015;;;;0;12-09-2018;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;13-01-2019;;;;13-01-2019
8229;DK17581/2018;2,08E+14;Mosehusets Casandra;;DBZB239146;DK16293/2015;;;;0;12-09-2018;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;13-01-2019;;;;13-01-2019
8230;DK17582/2018;2,08E+14;Mosehusets Cahlua;;DBZB239146;DK16293/2015;;;;0;12-09-2018;B;1;0;0;01-03-2022;105;T;Tg/Hv;;AK;1;0;;;;;;;;;;;;29-03-2022;;;;13-01-2019
8231;LOE 2140215;;Hannibal Boxer del Mar;;LOE1979502;LOE 2032835;;CHJ. Ibérico Club España y Portugal  CH. Internacional  CH. Lisboa Winner (2015)  CH. España  CH. Ibérico Canina(Portugal y España);;0;04-12-2012;A;;0;0 (ES);;0;H;Rg/Hv;;Avlsgodkent i hjemland;1;0;;;;;;;;;;;;29-01-2019;;;;25-01-2019
8232;DK15937/2017;2,08E+14;Svalur Eddi;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8233;DK15938/2017;2,08E+14;Svalur Eros;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;A;0;0;0;01-03-2019;108;H;Rg/Hv;;AK;1;0;;;;;;;;;;;;15-06-2020;;;;29-01-2019
8234;DK15939/2017;2,08E+14;Svalur Efi;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8235;DK15940/2017;2,08E+14;Svalur Eyja;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8236;DK15941/2017;2,08E+14;Svalur Eisa;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;C;0;0;0;01-06-2020;103;T;Rg;;AK;1;0;;;;;;;;;;;;15-06-2020;;;;29-01-2019
8237;DK15942/2017;2,08E+14;Svalur Ella;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8238;DK15943/2017;2,08E+14;Svalur Elisa;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8239;DK15944/2017;2,08E+14;Svalur Elita;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8240;DK15945/2017;2,08E+14;Svalur Emma;;VDH/DBZB 241753;DK06152/2013;;;;0;24-08-2017;;;;;;0;T;;0;;0;0;;;;;;;;;;;;29-01-2019;;;;29-01-2019
8241;DK02230/2019;9,85E+14;Cadogans Jolene;;WS50109101;WS48191207;;;;0;29-09-2015;A;;0;0;01-06-2020;95;T;Rg/Hv;;Ej avlskåret;1;0;;;;;;;;;;;;28-06-2020;;;;03-02-2019
8242;LOE 2056685;;Benito de Boxer de Kappabox;;LOE 1639063;LOE 1909227;;ESCH, INTCH;;0;;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8243;LOE 2205576;;Rus la Fler Rayo de Sole;;LOE 2081296;LOE 2078181;;ESCH, MECH, RSCH;;0;;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8244;WS50109101;;Forrest Kuningas von Kishko;;JR 76908NB;KSS 78655;;;;0;;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8245;WS48191207;;Cadogans Eloise;;WS38947001;WS38646506;;;;0;;;;;;;0;T;;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8246;DK16465/2018;9,45E+14;Unico del Cuore Grande;;LOI 09/58089;JR 700024NB;DKCH, AK;;;0;30-12-2017;A;;0;0;01-01-2020;102;H;Tg/Hv;;AK;1;0;;;;;;;;;;;;12-02-2020;;;;03-02-2019
8247;LOI 09/58089;;El Moro;;LOI BX098100;LOI 03/107383;;;;0;;;;;;;0;;Tg/Hv;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8248;JR 700024NB;;Eclipse del Cuore Grande;;JR 79440 NB;JR 79680NB;;INTCH;;0;;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;03-02-2019;;;;03-02-2019
8249;VDH/DBZB 240317;2,76E+14;Gustl vom Rhöner Blut;;SRB 77791;VDH/DBZB 232035;;VDH Ch, ÖKV Ch;;0;12-03-2014;A;;1;0;;0;H;Tg/Hv;;ZTP;1;0;;;;;;;;;;;;26-02-2019;;;;24-02-2019
8250;VDH/DBZB 245701;6,16E+14;Egoist Premia;;UKU.0152155;PKR.II-111706;;;;0;22-11-2016;B;;0;0;;0;H;Rg/Hv;;ZTP;1;0;;;;;;;;;;;;25-03-2019;;;;24-02-2019
8251;CMKU/BOX/15416/15;9,00E+14;Leviathan z Ringu;;LOI/10/39474;LOE2056170;;ZVV1,BH, Club Winner Hungary;;0;01-08-2015;B;;0;0;;0;H;Rg/Hv;;Avlsgodkent i hjemland;1;0;;;;;;;;;;;;05-04-2019;;;;27-02-2019
8252;DK02969/2019;2,76E+14;Diamond von der Waldnieler Heide;;DBZB235437;DBZB243238;IGP-1;;;0;26-08-2018;A;;1;;01-09-2021;106;T;Tg/Hv;;;;0;;;;;;;;;;;;22-09-2021;;;;09-03-2019
8253;DK17273/2018;2,08E+14;High On Life´s Lightning Star;;DK11236/2011;DK20181/2011;;;;0;08-09-2018;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;09-03-2019;;;;09-03-2019
8254;DK17274/2018;2,08E+14;High On Life´s Lois Lane;;DK11236/2011;DK20181/2011;;;;0;08-09-2018;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;09-03-2019;;;;09-03-2019
8255;DK17275/2018;2,08E+14;High On Life´s Lili Marleen;;DK11236/2011;DK20181/2011;;;;0;08-09-2018;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;09-03-2019;;;;09-03-2019
8256;DK17276/2018;2,08E+14;High On Life´s Lucky you;;DK11236/2011;DK20181/2011;;;;0;08-09-2018;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;09-03-2019;;;;09-03-2019
8257;DK17277/2018;2,08E+14;High On Life´s Long Kiss goodbye;;DK11236/2011;DK20181/2011;;;;0;08-09-2018;D;;2;;01-02-2022;89;T;Tg/Hv;;;;0;;;;;;;;;;;;03-02-2022;;;;09-03-2019
8258;DBZB243238;2,76E+14;Amy von der Waldnieler Heide;;VDH/DBZB 229540;VDH/DBZB 239836;;BH, AD;;0;27-02-2016;;;;;;0;T;Rg;0;ZTP;0;0;;;;;;;;;;;;12-03-2019;;;;12-03-2019
8259;DK01602/2019;2,08E+14;Bailey;;DK18224/2014;DK05726/2016;;;;0;02-01-2019;;;;;;0;T;Tg/Hv;1;;0;0;;;;;;;;;;;;12-03-2019;;;;12-03-2019
8260;DK02963/2019;2,08E+14;Carolinekilde´s Sicco;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;08-04-2019;;;;20-03-2019
8261;DK02968/2019;2,08E+14;Carolinekilde´s Sigga;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;T;Rg/Hv;;;;0;;;;;;;;;;;;20-03-2019;;;;20-03-2019
8262;DK02967/2019;2,08E+14;Carolinekilde´s Sansa;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;T;Rg/Hv;;;;0;;;;;;;;;;;;20-03-2019;;;;20-03-2019
8263;DK02965/2019;2,08E+14;Carolinekilde´s Scarlett;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;T;Rg/Hv;;;;0;;;;;;;;;;;;20-03-2019;;;;20-03-2019
8264;DK02966/2019;2,08E+14;Carolinekilde´s Shelly;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;20-03-2019;;;;20-03-2019
8265;DK02964/2019;2,08E+14;Carolinekilde´s S´Tikka;;NHSB2930249;DK10853/2016;;;;0;22-01-2019;;;;;;0;T;Rg/Hv;;;;0;;;;;;;;;;;;20-03-2019;;;;20-03-2019
8266;DK18825/2018;2,08E+14;Archa Von Samblebens Colin;;DK18223/2014;DK20654/2016;;KBHJV19;;0;01-10-2018;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;04-11-2019;;;;20-03-2019
8267;DK02976/2019;9,66E+14;Felicity Il Destino del Principe;;BEK-149580;BEK-133545;;;;0;30-06-2018;A1;0;0;1;01-03-2021;102;T;Tg/Hv;;AK;1;0;;;;;;;;;;;;06-04-2021;;;;28-03-2019
8268;DK02020/2019;2,08E+14;Imine´s Jonas;;DK11847/2015;DK07031/2014;;;;0;21-01-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;13-04-2019;;;;13-04-2019
8269;DK02021/2019;2,08E+14;Imine´s Jolene;;DK11847/2015;DK07031/2014;;;;0;21-01-2019;C;0;0;0;01-02-2022;98;T;Rg/Hv;;Ej avlskåret;1;0;;;;;;;;;;;;03-02-2022;;;;13-04-2019
8270;DK02022/2019;2,08E+14;Imine´s Jessie;;DK11847/2015;DK07031/2014;;;;0;21-01-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;13-04-2019;;;;13-04-2019
8271;DK02023/2019;2,08E+14;Imine´s Jodie;;DK11847/2015;DK07031/2014;BH;;;0;21-01-2019;C;0;0;0;01-03-2022;99;T;Rg/Hv;;Ej avlskåret;1;0;;;;;;;;;;;;07-03-2022;;;;13-04-2019
8272;DK03284/2019;2,08E+14;Kamabox´ Ilco;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8273;DK03293/2019;2,08E+14;Kamabox´ Izzy;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8274;DK03282/2019;2,08E+14;Kamabox´ Ismael;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8275;DK03285/2019;2,08E+14;Kamabox´ Inndy;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8276;DK03286/2019;2,08E+14;Kamabox´ Izar;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8277;DK03289/2019;2,08E+13;Kamabox´ Iliza;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8278;DK03290/2019;2,08E+14;Kamabox´ Izidora;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;A;;0;;01-02-2022;113;T;Tg/Hv;;;1;0;;;;;;;;;;;;03-02-2022;;;;12-05-2019
8279;DK03287/2019;2,08E+14;Kamabox´ Illi;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8280;DK03291/2019;2,08E+14;Kamabox´ Izza;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8281;DK03288/2019;2,08E+14;Kamabox´ Innka;;DK14717/2011;DK12263/2014;;;;0;09-02-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8282;DK02606/2019;2,08E+14;Pascal von Ellinghaus;;VDH/DBZB241475;DK13912/2015;;;;0;31-12-2018;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8283;DK02607/2019;2,08E+14;Paris von Ellinghaus;;VDH/DBZB241475;DK13912/2015;;DKJV19;;0;31-12-2018;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;04-11-2019;;;;12-05-2019
8284;DK02608/2019;2,08E+14;Phoebe von Ellinghaus;;VDH/DBZB241475;DK13912/2015;;;;0;31-12-2018;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;12-05-2019;;;;12-05-2019
8285;DK02785/2019;2,08E+14;Bostobox Humle;;DBZB236390;DK17637/2015;;;;0;31-01-2019;B;0;0;0;01-12-2021;107;T;Rg/Hv;;AK;1;0;;;;;;;;;;;;02-12-2021;;;;16-05-2019
8286;DK02786/2019;2,08E+14;Bostobox Hampus;;DBZB236390;DK17637/2015;;;;0;31-01-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8287;DK02787/2019;2,08E+14;Bostobox Higgins;;DBZB236390;DK17637/2015;;;;0;31-01-2019;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8288;DK03646/2019;2,08E+14;Bostobox Ivan;;DK06147/2013;DK12020/2012;;;;0;14-02-2019;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8289;DK03647/2019;2,08E+14;Bostobox Ismo;;DK06147/2013;DK12020/2012;;;;0;14-02-2019;;;;;;0;H;Tg;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8290;DK03648/2019;2,08E+14;Bostobox Isa;;DK06147/2013;DK12020/2012;;;;0;14-02-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8291;DK03649/2019;2,08E+14;Bostobox Izabel;;DK06147/2013;DK12020/2012;;;;0;14-02-2019;;;;;;0;T;Hvid;0;;0;0;;;;;;;;;;;;16-05-2019;;;;16-05-2019
8292;"DK08007/2017	";;;;;;;;;0;;;;;;;0;;;0;;0;0;;;;;;;;;;;;;;;;18-05-2019
8293;DK06171/2019;2,08E+14;Copenhagen Caterham Bulbus oculi;;VDH/DBZB241475;DK05606/2016;;;;0;09-03-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;21-05-2019;;;;21-05-2019
8294;DK06174/2019;2,08E+14;Copenhagen Caterham Basis cordis;;VDH/DBZB241475;DK05606/2016;;;;0;09-03-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;21-05-2019;;;;21-05-2019
8295;DK06173/2019;2,08E+14;Copenhagen Caterham Basis ossis sacri;;VDH/DBZB241475;DK05606/2016;;;;0;09-03-2019;B;;0;;01-02-2022;94;T;Tg/Hv;;;1;0;;;;;;;;;;;;03-02-2022;;;;21-05-2019
8296;DK06172/2019;2,08E+14;Copenhagen Caterham Basis cerebri;;VDH/DBZB241475;DK05606/2016;DKCH;Polsk Årsvinder 2020;;0;09-03-2019;B;;0;1;01-04-2022;102;T;Tg/Hv;;AK;1;0;;;;;;;;;;;;02-05-2022;;;;21-05-2019
8297;DK07688/2018;2,76E+14;Origano vom Schloss Arolsen;;VDH/DBZB 241660;VDH/DBZB 238925;;;;0;29-06-2017;A;0;1;;01-06-2019;102;H;Tg/Hv;;Ej avlskåret;1;0;;;;;;;;;;;;14-08-2019;;;;08-06-2019
8298;VDH/DBZB 237278;;Bernhard von der Jakobs-Schlucht;;VDH/DBZB 227843;VDH/DBZB 232329;ZTP BH AD IPO3;;;0;10-05-2012;B;;0;0;;0;H;Rg/Hv;;ZTP;1;0;;;;;;;;;;;;25-06-2019;;;;20-06-2019
8299;"	VDH/DBZB 231259";;Ceanu vom Mesumer Land ;;;;;;;0;;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;25-06-2019;;;;25-06-2019
8300;VDH/DBZB 231259;;Ceanu vom Mesumer Land ;;;;;;;0;30-07-2008;;;;;;0;;;0;;0;0;;;;;;;;;;;;27-06-2019;;;;27-06-2019
8301;DK07005/2019;2,08E+14;Louwenki´s Beauty Hannibalina;;LOE 2140215;DK09435/2013;;;;0;26-03-2019;;;;;;0;T;Rg/Hv;;;;0;;;;;;;;;;;;10-06-2022;;;;27-06-2019
8302;DK07006/2019;2,08E+14;Louwenki´s Blue Moon;;LOE 2140215;DK09435/2013;;;;0;26-03-2019;B;;0;0;01-05-2021;107;T;Rg/Hv;;Ej avlskåret;1;0;;;;;;;;;;;;02-06-2021;;;;27-06-2019
8303;DK07004/2019;2,08E+14;Louwenki´s Bradley;;LOE 2140215;DK09435/2013;;;;0;26-03-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;27-06-2019;;;;27-06-2019
8304;DK07003/2019;2,08E+14;Louwenki´s Baron Le Rouge;;LOE 2140215;DK09435/2013;;;;0;26-03-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;27-06-2019;;;;27-06-2019
8305;DK07002/2019;2,08E+14;Louwenki´s Beckham;;LOE 2140215;DK09435/2013;;;;0;26-03-2019;A;;0;0;01-05-2021;104;H;Rg/Hv;;;1;0;;;;;;;;;;;;01-06-2021;;;;27-06-2019
8306;DK04005/2019;2,08E+14;Velvet Evolutions Cameron;;DK11236/2011;DK09574/2013;;;;0;29-01-2019;;;;;;0;H;Tg/Hv;;;;0;;;;;;;;;;;;15-09-2019;;;;27-06-2019
8307;DK04004/2019;2,08E+14;Velvet Evolutions Christiano;;DK11236/2011;DK09574/2013;;;;0;29-01-2019;;;;;;0;H;Tg/Hv;;;;0;;;;;;;;;;;;15-09-2019;;;;27-06-2019
8308;DK04003/2019;2,08E+14;Velvet Evolutions Clay;;DK11236/2011;DK09574/2013;;;;0;29-01-2019;;;;;;0;H;Tg/Hv;1;;;0;;;;;;;;;;;;15-09-2019;;;;27-06-2019
8309;DK09900/2019;2,08E+14;Bumble;;DK15505/2013;DK13643/2013;;;;0;01-05-2019;;;;;;0;H;Tg/Hv;;;;0;;;;;;;;;;;;15-09-2019;;;;05-08-2019
8310;DK09901/2019;2,08E+12;von Rejsenhus Bea;;DK15505/2013;DK13643/2013;;;;0;01-05-2019;;;;;;0;T;Tg/Hv;;;;0;;;;;;;;;;;;15-09-2019;;;;05-08-2019
8311;DK09902/2019;2,08E+14;von Rejsenhus Bi-Gita;;DK15505/2013;DK13643/2013;;;;0;01-05-2019;;;;;;0;T;Tg/Hv;;;;0;;;;;;;;;;;;15-09-2019;;;;05-08-2019
8312;DK10422/2019;2,08E+14;Kulsvierkrogen’s Geranium;;VDH/DBZB 238548;DK18225/2014;DKCH;Babyårsvinder 2019;;0;17-05-2019;A;0;0;0;01-03-2022;127;H;Tg/Hv;;AK;1;0;;;;;;;;;;;;26-06-2022;;;;05-08-2019
8313;DK10423/2019;2,08E+14;Kulsvierkrogen’s Galanthus;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;A;0;0;2;01-02-2022;125;H;Tg/Hv;;;1;0;;;;;;;;;;;;15-02-2022;;;;05-08-2019
8314;DK10424/2019;2,08E+14;Kulsvierkrogen’s Gerbera;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;B;0;1;1;01-04-2021;120;T;Rg/Hv;;;1;0;;;;;;;;;;;;11-08-2021;;;;05-08-2019
8315;DK10425/2019;2,08E+14;Kulsvierkrogen’s Georgine;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;A;;;2;;0;T;Rg/Hv;;;1;0;;;;;;;;;;;;11-08-2021;;;;05-08-2019
8316;DK10426/2019;2,08E+14;Kulsvierkrogen’s Gardenia;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;A;0;1;;01-02-2022;126;T;Rg;;;1;0;;;;;;;;;;;;03-02-2022;;;;05-08-2019
8317;DK10427/2019;2,08E+14;Kulsvierkrogen’s Gypsophila;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;A;0;1;2;01-02-2022;129;T;Tg;;Ej avlskåret;1;0;;;;;;;;;;;;19-02-2022;;;;05-08-2019
8318;DK10428/2019;2,08E+14;Kulsvierkrogen’s Gillenia;;VDH/DBZB 238548;DK18225/2014;;;;0;17-05-2019;A;;0;;;0;T;Tg;;;;0;;;;;;;;;;;;11-04-2021;;;;05-08-2019
8319;DK05185/2019;2,08E+14;Passion Hill´s Elvira Madigan;;DK10498/2013;DK13261/2016;;;;0;06-03-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;05-08-2019;;;;05-08-2019
8320;DK11201/2019;2,08E+14;Troica´s Innari;;DBZB236782;DK18763/2015;;;;0;30-05-2019;;;;;;0;T;Tg/Hv;0;;0;0;;;;;;;;;;;;14-08-2019;;;;07-08-2019
8321;DK11202/2019;2,08E+14;Troica´s Ilma;;DBZB236782;DK18763/2015;;Babyårsvinder 2019;;0;30-05-2019;A;;;0;01-07-2021;117;T;Tg/Hv;;AK;1;0;;;;;;;;;;;;15-09-2021;;;;07-08-2019
8322;DK11203/2019;2,08E+14;Troica´s Izcaya;;DBZB236782;DK18763/2015;;;;0;30-05-2019;;;;;;0;T;Hvid;;;;0;;;;;;;;;;;;14-08-2019;;;;07-08-2019
8323;DK11204/2019;2,08E+14;Troica´s Izra;;DBZB236782;DK18763/2015;;;;0;30-05-2019;;;;;;0;T;Hvid;0;;0;0;;;;;;;;;;;;14-08-2019;;;;07-08-2019
8324;DK09259/2019;2,08E+14;Hearts of Hope´s Xokrates;;VDH/DBZB 240317;DK08709/2015;;;;0;29-04-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;14-08-2019;;;;14-08-2019
8325;DK09260/2019;2,08E+14;Hearts of Hope´s Xalomon;;VDH/DBZB 240317;DK08709/2015;;;;0;29-04-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;14-08-2019;;;;14-08-2019
8326;DK09261/2019;2,08E+14;Hearts of Hope´s XoulMate;;VDH/DBZB 240317;DK08709/2015;;;;0;29-04-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;14-08-2019;;;;14-08-2019
8327;LOE2260589;9,41E+14;Camaron de Monteolivo;;LOE1705071;LOE1786815;ESCH;;;0;01-03-2015;A;;0;1;;0;H;Tg/Hv;;Avlsgodkendt i hjemland;1;0;;;;;;;;;;;;01-08-2020;;;;19-08-2019
8328;DK08995/2019;2,08E+14;Imine´s Katinka;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;A;0;0;;01-03-2021;113;T;Rg/Hv;;AK;1;0;;;;;;;;;;;;29-04-2021;;;;22-08-2019
8329;DK08994/2019;2,08E+14;Imine´s Karla;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;22-08-2019;;;;22-08-2019
8330;DK08993/2019;2,08E+14;Imine´s Kleopatra;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;22-08-2019;;;;22-08-2019
8331;DK08992/2019;2,08E+14;Imine´s Kresten;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;22-08-2019;;;;22-08-2019
8332;DK08990/2019;2,08E+14;Imine´s Konrad;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;22-08-2019;;;;22-08-2019
8333;DK08991/2019;2,08E+14;Imine´s Karius;;CMKU/BOX/15416/15;DK11849/2015;;BH, IGP1;;0;26-04-2019;A;0;0;0;01-01-2021;114;H;Rg/Hv;;ZTP;1;0;;;;;;;;;;;;24-01-2022;;;;22-08-2019
8334;DK08989/2019;2,08E+15;Imine´s Kornelius;;CMKU/BOX/15416/15;DK11849/2015;;;;0;26-04-2019;;;;;;0;H;Rg/Hv;0;;0;0;;;;;;;;;;;;22-08-2019;;;;22-08-2019
8335;DK12727/2019;2,08E+14;Boxer de Amisda’s Arcus;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;09-09-2019;;;;09-09-2019
8336;DK12732/2019;2,08E+14;Boxer de Amisda’s Aica;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;C;;2;3;01-11-2021;88;T;Tg/Hv;;;1;0;;;;;;;;;;;;15-11-2021;;;;09-09-2019
8337;DK12729/2019;2,08E+14;Boxer de Amisda’s Arnie;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;09-09-2019;;;;09-09-2019
8338;DK12728/2019;2,08E+14;Boxer de Amisda’s Alfe;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;H;Tg;1;;0;0;;;;;;;;;;;;09-09-2019;;;;09-09-2019
8339;DK12730/2019;2,08E+14;Boxer de Amisda’s Ace;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;H;Rg;0;;0;0;;;;;;;;;;;;09-09-2019;;;;09-09-2019
8340;DK12731/2019;2,08E+14;Boxer de Amisda’s Anton;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;H;Rg/Hv;;;;0;;;;;;;;;;;;17-01-2020;;;;09-09-2019
8341;DK12733/2019;2,08E+14;Boxer de Amisda’s Aura;;VDH/DBZB 245701;DK15997/2016;;;;0;25-06-2019;;;;;;0;T;Rg/Hv;0;;0;0;;;;;;;;;;;;09-09-2019;;;;09-09-2019
8342;DK16247/2019;2,08E+14;Passionbox Avalon;;LOE1951898;DK18240/2016;;;;0;19-08-2019;A;0;0;0;01-03-2022;115;H;Hvid;;Ej avlskåret;1;0;;;;;;;;;;;;21-03-2022;;;;15-10-2019
8343;DK16248/2019;0;Passionbox Adonis ;;LOE1951898;DK18240/2016;;;;0;19-08-2019;;;;;;0;H;Tg/Hv;0;;0;0;;;;;;;;;;;;15-10-2019;;;;15-10-2019
